,,,,,Paper Information,,,,,,,,Population Information,,,,,,,,,,,,,Demographic Characteristics,,,,,,,Exposure history,,,,,,,,,,,Comorbidities,,,,,,,,,,,,Symptoms,,,,,,,,,,,,,,,,,,,,,,,Labs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatments,,,,,,,,,,,,,,,,,,Medical Outcomes,,,,,,,,,,,,,,Outcomes,,,,,,,,Outcomes (Imaging),,
68,2,China,Wuhan,79,"Diabetic patients with COVID-19, characteristics and outcome — A two-centre, retrospective, case control study",Lancet Diabetes and Endocrinology,Shi et. al.,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3551369,English,Can split by diabetic vs. non-diabetic,Agni,,1/1/2020,2/25/2020,55,Subgroup,diabetic ,Positive only,End-point and active,Both,Both,Yes,Both,All,Both,66,,,56,73,,55.70%,7.60%,1.30%,6.30%,,,,,,8,4,14,5.10%,2.50%,,60.80%,100%,26.60%,,7.60%,5.10%,,10.10%,7.60%,,,,82.30%,,,64.60%,41.80%,1.30%,,20.30%,65.80%,,8.90%,6.30%,55.70%,,,,,,,,5.8,4.5,8.2,8.2,,6.6,9,1,,,0.81,0.56,1.22,185,,133.5,259.3,11,7.9,16,4.3,25.5,27.5,,39.9,,,,,,,,280,142,,,,,,,87.30%,98.70%,,,,,,,24.10%,,67.10%,22.80%,10.10%,0,40.50%,,,,,,,39.20%,,,35.40%,,,46.80%,17.70%,43%,,,100%,30.40%,na,,13,,35.40%,,,,
68,3,China,Wuhan,51,"Diabetic patients with COVID-19, characteristics and outcome — A two-centre, retrospective, case control study",Lancet Diabetes and Endocrinology,Shi et. al.,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3551369,English,Can split by diabetic vs. non-diabetic,Agni,,1/1/2020,2/25/2020,55,Subgroup,diabetic - survivors,Positive only,End-point only,Survivors only,Discharged only,Yes,Both,All,Both,63,,,55,70,,49%,5.90%,2.00%,3.90%,,,,,,8.5,4,15,2%,2%,,49%,100%,17.60%,,3.90%,3.90%,,11.80%,2%,,,,84.30%,,,66.70%,33.30%,2%,,23.50%,62.70%,,11.80%,5.90%,54.90%,,,,,,,,5.3,4,7.1,7.6,,6.6,8.6,1,,,0.97,0.71,1.38,197,,146,289,9.5,7.8,13.4,3.4,27,24,,15.3,,,,,,,,382,157,,,,,,,80.40%,87.30%,,,,,,,19.60%,,58.80%,7.80%,2%,0,33.30%,,,,,,,5.90%,,,2%,,,19.60%,0%,25.50%,,,100%,11.80%,na,,16,,0.00%,,,,
68,4,China,Wuhan,28,"Diabetic patients with COVID-19, characteristics and outcome — A two-centre, retrospective, case control study",Lancet Diabetes and Endocrinology,Shi et. al.,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3551369,English,Can split by diabetic vs. non-diabetic,Agni,,1/1/2020,2/25/2020,55,Subgroup,diabetic - non survivors,Positive only,End-point only,Non-Survivors only,Non-discharged only,Yes,Both,Severe/Critical Only,Both,74.5,,,64.3,81.8,,67.90%,10.70%,0%,10.70%,,,,,,8,3,13,10.70%,3.60%,,82.10%,100%,42.90%,,14.30%,7.10%,,7.10%,17.90%,,,,78.60%,,,60.70%,57.10%,0%,,14.30%,71.40%,,3.60%,7.10%,57.10%,,,,,,,,8,5.5,13.6,9.9,,7.8,11,1,,,0.7,0.38,0.82,174,,114,202,14.2,8,24.3,6.9,23,41,,86.1,,,,,,,,202.5,78,,,,,,,100%,100%,,,,,,,32.10%,,82.10%,50%,25%,0,53.60%,,,,,,,100%,,,96.40%,,,96.40%,50%,75%,,,100%,64.30%,na,,5,,100.00%,,,,
69,0,China,Shenzhen,6,A familial cluster of pneumonia associated with the 2019 novel coronavirus indicating person-to-person transmission: a study of a family cluster,Lancet,Chan et. al.,https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(20)30154-9/fulltext,English,,Ryan,,1/10/2020,1/24/2020,14,Top-level,All,Positive only,Active only,Survivors only,Non-discharged only,No,Non-ICU only,All,Non-ventilation only,50,46.17,17.98436475,36,65,0%,50%,33%,0%,33%,4.5,4.5,3,6,7.8,7,7,9,,,66.67%,33.33%,16.67%,0%,,0%,16.67%,0%,0%,16.67%,,,,83.33%,37.7,,83.33%,,,,50%,50%,16.67%,33.33%,,,16.67%,,,,16.67%,16.67%,0%,5.2,4.3,6.5,148,,131,152,1,,,1.7,0.7,2.7,196.5,,166.75,201,,,,4.05,19.23,24.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0%,0%,,,,,,,,,,,,,,,,,,,,83.33%,0%,0%,0%,,,0.00%,,,,
69,1,China,Shenzhen,1,A familial cluster of pneumonia associated with the 2019 novel coronavirus indicating person-to-person transmission: a study of a family cluster,Lancet,Chan et. al.,https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(20)30154-9/fulltext,English,,Ryan,,1/10/2020,1/24/2020,14,Subgroup,Single patient,Positive only,Active only,Survivors only,Non-discharged only,No,Non-ICU only,Mild only,Non-ventilation only,65,65,,65,65,0%,0%,100%,0%,100%,,,,,7,7,7,7,,,100%,100%,0%,0%,,0%,100%,0%,0%,0%,,,,100%,39,,100.00%,,,,100%,100%,0%,0%,,,0%,,,,0%,0%,0%,4.8,4.8,4.8,131,,131,131,1,,,0.6,0.6,0.6,157,,157,157,,,,4,14.2,20.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0%,0%,,,,,,,,,,,,,,,,,,,,100%,0%,0%,0%,,,0.00%,,,,
69,2,China,Shenzhen,1,A familial cluster of pneumonia associated with the 2019 novel coronavirus indicating person-to-person transmission: a study of a family cluster,Lancet,Chan et. al.,https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(20)30154-9/fulltext,English,,Ryan,,1/10/2020,1/24/2020,14,Subgroup,Single patient,Positive only,Active only,Survivors only,Non-discharged only,No,Non-ICU only,Severe/Critical Only,Non-ventilation only,66,66,,66,66,0%,100%,0%,0%,0%,,,,,6,6,6,6,,,100%,100%,0%,0%,,0%,0%,0%,0%,0%,,,,100%,39,,100.00%,,,,100%,100%,0%,0%,,,0%,,,,100%,100%,0%,4.2,4.2,4.2,156,,156,156,1,,,0.7,0.7,0.7,118,,118,118,,,,3.2,13.9,23.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0%,0%,,,,,,,,,,,,,,,,,,,,100%,0%,0%,0%,,,0.00%,,,,
69,3,China,Shenzhen,1,A familial cluster of pneumonia associated with the 2019 novel coronavirus indicating person-to-person transmission: a study of a family cluster,Lancet,Chan et. al.,https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(20)30154-9/fulltext,English,,Ryan,,1/10/2020,1/24/2020,14,Subgroup,Single patient,Positive only,Active only,Survivors only,Non-discharged only,No,Non-ICU only,Mild only,Non-ventilation only,37,37,,37,37,0%,0%,100%,0%,100%,,,,,9,9,9,9,,,0%,0%,0%,0%,,0%,0%,0%,0%,0%,,,,100%,36.2,,100.00%,,,,0%,0%,100%,100%,,,100%,,,,0%,0%,0%,5.6,5.6,5.6,150,,150,150,1,,,2.2,2.2,2.2,224,,224,224,,,,3.1,25.9,27.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0%,0%,,,,,,,,,,,,,,,,,,,,100%,0%,0%,0%,,,0.00%,,,,
69,4,China,Shenzhen,1,A familial cluster of pneumonia associated with the 2019 novel coronavirus indicating person-to-person transmission: a study of a family cluster,Lancet,Chan et. al.,https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(20)30154-9/fulltext,English,,Ryan,,1/10/2020,1/24/2020,14,Subgroup,Single patient,Positive only,Active only,Survivors only,Non-discharged only,No,Non-ICU only,Mild only,Non-ventilation only,36,36,,36,36,0%,100%,0%,0%,0%,,,,,10,10,10,10,,,100%,0%,0%,0%,,0%,0%,0%,0%,100%,,,,100%,36.5,,100%,,,,0%,0%,0%,100%,,,0%,,,,0%,0%,0%,11.4,11.4,11.4,152,,152,152,1,,,2.7,2.7,2.7,196,,196,196,,,,8.1,20.2,18.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0%,0%,,,,,,,,,,,,,,,,,,,,100%,0%,0%,0%,,,0.00%,,,,
69,5,China,Shenzhen,1,A familial cluster of pneumonia associated with the 2019 novel coronavirus indicating person-to-person transmission: a study of a family cluster,Lancet,Chan et. al.,https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(20)30154-9/fulltext,English,Asymptomatic; not admitted to hospital,Ryan,,1/10/2020,1/24/2020,14,Subgroup,Single patient,Positive only,Active only,Survivors only,Non-discharged only,No,Non-ICU only,Mild only,Non-ventilation only,10,10,,10,10,0%,100%,0%,0%,0%,,,,,,,,,,,0%,0%,0%,0%,,0%,0%,0%,0%,0%,,,,0%,36.5,,0%,,,,0%,0%,0%,0%,,,0%,,,,0%,0%,0%,6.5,6.5,6.5,146,,146,146,1,,,2.8,2.8,2.8,197,,197,197,,,,3.2,23.9,28.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0%,0%,,,,,,,,,,,,,,,,,,,,0%,0%,0%,0%,,,0.00%,,,,
69,6,China,Shenzhen,1,A familial cluster of pneumonia associated with the 2019 novel coronavirus indicating person-to-person transmission: a study of a family cluster,Lancet,Chan et. al.,https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(20)30154-9/fulltext,English,,Ryan,,1/10/2020,1/24/2020,14,Subgroup,Single patient,Positive only,Active only,Survivors only,Non-discharged only,No,Non-ICU only,Mild only,Non-ventilation only,63,63,,63,63,0%,0%,0%,0%,0%,,,,,7,7,7,7,,,100%,0%,100%,0%,,,0%,0%,0%,0%,,,,100%,39,,100%,,,,100%,100%,0%,0%,,,0%,,,,0%,0%,0%,4.3,4.3,4.3,130,,130,130,1,,,1.2,1.2,1.2,205,,205,205,,,,2.7,17.3,27.6,,,,,,,,,,,,,,,,,,100%,,,,,,,,,,,0%,0%,,,,,,,,,,,,,,,,,,,,100%,0%,0%,0%,,,0.00%,,,,
70,0,China,Wuhan,101,"Clinical characteristics of 101 non-survivors hospitalized with COVID-19—A single center, retrospective study",Lancet,Shi et. al.,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3550014,English,,Galit,,1/1/2020,2/15/2020,45,Top-level,All,Positive only,End-point only,Non-Survivors only,Discharged only,Yes,,Severe/Critical Only,Both,71,,,60,80,,59.41%,100%,100%,,,,,,,,,,,,82%,58.42%,21.78%,24%,,13.86%,7%,,11%,0%,,,,81.19%,,,55.45%,58.42%,4.95%,,6%,35.64%,,10%,3%,,,,,0%,0%,0%,100%,9.7,9.042,10.358,,,,,1,,,0.76,0.681,0.839,178.2,,167.37,189.03,25.01,18.324,31.696,8.466,55.99,116.8,,107.9,,,,,,,,197.9,130.4,,,,,,,98%,96%,,,,,,,,,,40.59%,13.86%,,43.56%,4.95%,,,,,,,,,,,,,,,,,100%,,0%,,4,,100.00%,100.00%,,,
70,1,China,Wuhan,48,"Clinical characteristics of 101 non-survivors hospitalized with COVID-19—A single center, retrospective study",Lancet,Shi et. al.,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3550014,English,,Ryan,,1/1/2020,2/15/2020,45,Subgroup,<=3d course of disease group,Positive only,End-point only,Non-Survivors only,Discharged only,Yes,,Severe/Critical Only,Both,72,,,59,78,,58%,100%,100%,,,,,,,,,,,,77%,54%,19%,18.75%,,8%,6%,,4%,0%,,,,79%,,,48%,58%,2%,,2%,40%,,8%,2%,,,,,0%,0%,0%,100%,12.36,11.11,13.61,,,,,1,,,0.7,0.62,0.78,185.2,,163.95,206.45,28.94,16.95,40.93,11.23,88.64,219.2,,123.4,,,,,,,,203.3,120.7,,,,,,,98%,97.92%,,,,,,,,,,22.92%,16.67%,,35.42%,4.17%,,,,,,,,,,,,,,,,,100%,,0%,,2,,100.00%,100.00%,,,
70,2,China,Wuhan,53,"Clinical characteristics of 101 non-survivors hospitalized with COVID-19—A single center, retrospective study",Lancet,Shi et. al.,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3550014,English,,Ryan,,1/1/2020,2/15/2020,45,Subgroup,<=3d course of disease group,Positive only,End-point only,Non-Survivors only,Discharged only,Yes,,Severe/Critical Only,Both,71,,,59,81,,60%,100%,100%,,,,,,,,,,,,85%,62%,25%,28.30%,,19%,8%,,17%,0%,,,,83%,,,62%,58%,9%,,9%,32%,,11%,8%,,,,,0%,0%,0%,100%,7.72,7.21,8.23,,,,,1,,,0.69,0.64,0.74,173,,162.5,183.5,22.38,14.61,30.15,6.48,34.15,46.15,,94.1,,,,,,,,195.6,151,,,,,,,98%,94.34%,,,,,,,,,,56.60%,11.32%,,50.94%,5.66%,,,,,,,,,,,,,,,,,100%,,0%,,7,,100.00%,100.00%,,,
71,1,China,Wuhan,55,"Clinical Characteristics of 55 Cases of Deaths with COVID-19 Pneumonia in Wuhan, China: Retrospective Case Series",Lancet,Yao et. al.,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3550019,English,,Galit,,1/26/2020,2/18/2020,23,Subgroup,Non-survivors,Positive only,End-point only,Non-Survivors only,,Yes,,Severe/Critical Only,Both,65,70.7,,60,80,0%,67%,100%,100%,,,,,,,,,,,,73%,60%,26%,,,22%,7%,,9%,0%,,,,96%,,,62%,96%,4%,,93%,93%,,4%,4%,,,,,0%,0%,0%,100%,7.85,4.84,12.79,125,,105,145,1,,,0.55,0.41,0.8,160.5,,93.3,227.7,14.1,8.6,19.9,7.58,25,43,44,84.9,,,,,,,,,,,,,,,,96%,,,,,,,,,,,21.80%,,,,7.30%,,,,,,,,,,,,,,,,,100%,,0%,,,,100.00%,100.00%,,,
72,0,China,Wuhan,140,"Clinical characteristics of 140 patients infected with SARSCoV-2 in Wuhan, China",Epidemiology and Genetics,Zhang et. al.,https://onlinelibrary.wiley.com/doi/pdf/10.1111/all.14238,English,Treatments and outcomes not reported as patients had largely not been discharged,Ryan,,1/16/2020,2/3/2020,18,Top-level,All,Positive only,End-point and active,Both,Both,No,ΝΑ,All,NA,57,,,30,75,2.10%,50.70%,10.70%,0%,0%,,,,,8,8,7,10,1.40%,,64.30%,30%,12.10%,5.00%,,1.40%,,,,10%,,,,91.70%,,,75%,36.70%,,,,75%,36.70%,12.90%,17.30%,12.20%,,,,,41.40%,,,4.7,3.7,6.7,,,,,1,,34.2,0.8,0.7,1,,,,,,,,,,,,34.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100%,,na,,,,,,,,
72,1,China,Wuhan,82,"Clinical characteristics of 140 patients infected with SARSCoV-2 in Wuhan, China",Epidemiology and Genetics,Zhang et. al.,https://onlinelibrary.wiley.com/doi/pdf/10.1111/all.14238,English,Treatments and outcomes not reported as patients had largely not been discharged,Ryan,,1/16/2020,2/3/2020,18,Subgroup,Nonsevere,Positive only,End-point and active,Both,Both,No,ΝΑ,Mild only,NA,51.5,,,31,71,3.70%,46.30%,13.40%,0%,0%,,,,,8,8,6,10,0%,,53.70%,24.40%,11.00%,3.70%,,0%,,,,10%,,,,88.10%,,,76.10%,29.90%,,,,76.10%,29.90%,11.00%,23.20%,11.00%,,,,,0%,,,4.5,3.5,5.9,,,,,1,,28.7,0.8,0.7,1.1,,,,,,,,,,,,28.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100%,,na,,,,,,,,
72,2,China,Wuhan,58,"Clinical characteristics of 140 patients infected with SARSCoV-2 in Wuhan, China",Epidemiology and Genetics,Zhang et. al.,https://onlinelibrary.wiley.com/doi/pdf/10.1111/all.14238,English,Treatments and outcomes not reported as patients had largely not been discharged,Ryan,,1/16/2020,2/3/2020,18,Subgroup,Severe,Positive only,End-point and active,Both,Both,No,ΝΑ,Severe/Critical Only,NA,64,,,33,77,0%,56.90%,6.90%,0%,0%,,,,,7,7,6,10,3.40%,,79.30%,37.90%,13.80%,6.90%,,3.40%,,,,10%,,,,96.20%,,,73.60%,45.30%,,,,73.60%,45.30%,15.80%,8.80%,14.00%,,,,,100%,,,5.3,4,9,,,,,1,,47.6,0.7,0.6,0.9,,,,,,,,,,,,47.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100%,,na,,,,,,,,
73,0,China,Wuhan,36,"Clinical characteristics of 36 non-survivors with COVID-19 in Wuhan, China",MedRxiv,Huang et. al.,https://www.medrxiv.org/content/medrxiv/early/2020/03/05/2020.02.27.20029009.full.pdf,English,,Sam,,1/21/2020,2/14/2020,24,Top-level,All,Positive only,End-point only,Non-Survivors only,Non-discharged only,Yes,ΝΑ,Severe/Critical Only,NA,69.22,69.22,18.890544,62.8844,75.5556,,69.44%,,,,,,,,,,,,11.11%,,,58.33%,19.44%,13.89%,,11.11%,2.78%,,8.33%,,,,,94.44%,,,77.78%,58.33%,,22.22%,2.78%,47.22%,,8.33%,,,,,,,0%,100%,0%,7.67,4.1,10.97,123.74,,111.14294,136.33706,0,,,0.67,0.44758,0.89242,167.21,,115.39962,219.02038,11.21,7.5,19.2,6.64,26,43,,106.2,100.6,,,,,,,,,,,,,,,100%,97.22%,,,,,,,55.56%,,97.22%,52.78%,25%,,69.44%,,,,,100%,,100%,,,,,,,2.78%,,,,100%,,0%,,,,100.00%,100.00%,,,
74,0,Chile,Chile,922,SITUACIÓN EPIDEMIOLÓGICA COVID-19. CHILE al 23 de marzo de 2020,Departamento de Epidemiología. Ministerio de Salud de Chile,Departamento de Epidemiología. Ministerio de Salud de Chile,https://www.dropbox.com/s/cj3p12oncrewh72/Informe_10_COVID_19_Chile.pdf.pdf.pdf?dl=0,Spanish,,Galit,Galit,3/1/2020,3/23/2020,22,Top-level,All,Positive only,End-point and active,Both,,,,,,34,,,29,47,,49%,,,,,,,,,,,,,,,,,,,,,,,,,,,9%,,,52%,57%,52%,,4%,,,,47%,,45%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.20%,,na,,,,0.20%,,,,
75,0,USA,Nationwide,12,First 12 patients with coronavirus disease 2019 (COVID-19) in the United States,MedRxiv,The COVID-19 Investigation Team,10.1101/2020.03.09.20032896,English,,Ryan,,1/20/2020,2/22/2020,33,Top-level,All,Positive only,End-point and active,Both,Both,No,Both,All,Both,53,,,,,,67%,100%,75%,17%,,,,,1,1,0,3,8.33%,,16.67%,16.67%,8.33%,16.67%,,8.33%,0.00%,0%,0%,33.33%,,,,58.33%,,,66.67%,8.33%,25%,,,41.67%,,8.33%,,,8.33%,8.33%,,0%,58.33%,50%,8.33%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0%,,,,,0%,0%,,,,,,,,58.33%,8.33%,92%,4,12.71428571,29,0%,0%,,,
75,1,USA,Nationwide,7,First 12 patients with coronavirus disease 2019 (COVID-19) in the United States,MedRxiv,The COVID-19 Investigation Team,10.1101/2020.03.09.20032896,English,,Ryan,,1/20/2020,2/22/2020,33,Subgroup,Hospitalized patients,Positive only,End-point and active,Both,Both,Yes,Both,All,Both,55,,,,,,71.40%,100%,,,,,,,2,1,1,3,14.28%,,57.14%,14.28%,14.28%,14.28%,,14.28%,0%,0%,0%,28.57%,,,,85.27%,,38.544,85.71%,14.28%,14.28%,,,28.57%,,14.28%,,,,,,0%,100%,85.72%,14.28%,3.65,3.3,3.9,,,,,1,,,,,,,,,,,,,,180,120.14,,,,,,,,,,,,,,,,,,71.42%,42.85%,0%,0%,,,,0%,0%,,14.28%,,,,,,,,0%,,,,,0%,0%,,,,,,,,100%,14.28%,86%,4,12.71,32,0%,0%,,,
76,0,China,,36,Analysis on the Clinical Characteristics of 36 Cases of Novel Coronavirus Pneumonia in Kunming,MedRxiv,,10.1101/2020.02.28.20029173,English,"binned labs, no deaths",EXCLUDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,0,China,Wuhan,109,Clinical Characteristics and Progression of 2019 Novel Coronavirus-Infected Patients Concurrent Acute Respiratory Distress Syndrome,MedRxiv,Liu et al. ,10.1101/2020.02.17.20024166,English,,Holly,,1/2/2020,2/12/2020,41,Top-level,All,Positive only,End-point only,Both,Discharged only,Yes,ΝΑ,All,Both,55,,,43,66,,54.10%,,,,,,,,5,5,3,7,,,,33.90%,11%,,,3.70%,,,9.20%,,,,,82.60%,,,61.50%,,,,,56.90%,,11%,,,,,,0%,,,,5.2,4,7,,,,,,,65,0.9,0.5,1.2,,,,,9,6.5,13.4,3.6,23,30,,3.1,,,,,,,,,,,,,,,,97.20%,98.20%,,,,,,,,,25.70%,,0.00%,,,,,,,,,,,,,,,,,,,,100%,,,,15,,28.40%,,,,
77,1,China,Wuhan,56,Clinical Characteristics and Progression of 2019 Novel Coronavirus-Infected Patients Concurrent Acute Respiratory Distress Syndrome,MedRxiv,Liu et al.,10.1101/2020.02.17.20024166,English,Subgroup without ARDS,Ryan,,1/2/2020,2/12/2020,41,Top-level,All,Positive only,End-point only,Both,Discharged only,Yes,ΝΑ,All,Both,49,,,37,59,,55.40%,,,,,,,,4,4,2,6,,,,28.60%,1.80%,,,3.60%,,,3.60%,,,,,85.70%,,,64.30%,,,,,46.40%,,10.70%,,,,,,0%,,,,4.9,3.8,6.2,,,,,,,64,1,0.8,1.4,,,,,8.3,6.8,11.7,3.2,23,29,,2,,,,,,,,,,,,,,,,94.60%,98.20%,,,,,,,,,3.60%,,0.00%,,,,,,,,,,,,,,,,,,,,100%,,,,,,8.90%,,,,
77,2,China,Wuhan,53,Clinical Characteristics and Progression of 2019 Novel Coronavirus-Infected Patients Concurrent Acute Respiratory Distress Syndrome,MedRxiv,Liu et al.,10.1101/2020.02.17.20024166,English,Subgroup with ARDS,Ryan,,1/2/2020,2/12/2020,41,Top-level,All,Positive only,End-point only,Both,Discharged only,Yes,ΝΑ,All,Both,61,,,52,70,,52.80%,,,,,,,,7,7,5,9,,,,39.60%,20.80%,,,3.80%,,,15.10%,,,,,79.20%,,,58.50%,,,,,67.90%,,11.30%,,,,,,0%,,,,5.4,4.5,8,,,,,,,67,0.7,0.4,1.1,,,,,10.5,6.2,14.8,4.1,24,31,,4.9,,,,,,,,,,,,,,,,100%,98.10%,,,,,,,,,49.10%,,0.00%,,,,,,,,,,,,,,,,,,,,100%,,,,,,49.06%,,,,
78,0,China,Nanjing,24,"Clinical Characteristics of 24 Asymptomatic Infections with COVID-19 Screened among Close Contacts in Nanjing, China",MedRxiv,,10.1101/2020.02.20.20025619,English, asymptomatic; also break down by CT but not including this for now,Holly,,1/28/2020,2/18/2020,21,Top-level,All,Positive only,End-point and active,Survivors only,Both,Yes,Non-ICU only,Mild only,Non-ventilation only,32.5,,,19,57,,33.30%,,33.30%,,,8,6,9,,,,,4.20%,,,8.30%,8.30%,4.20%,,0%,0%,,4.20%,,,,,20.80%,,,8.30%,,,,,8.30%,4.20%,,,,,,,,,,,,,,132,,120,144,1,,,,,,,,,,,,,,,,,,,,,,,,,,,16.70%,17.40%,0%,8.30%,0%,8.30%,4.20%,87.50%,,,,,,0%,,,,0%,0%,,,,,,0%,,,,,,,,,,,,,,100%,0%,38%,,,9.5,0%,0%,,,
78,1,China,Nanjing,5,"Clinical Characteristics of 24 Asymptomatic Infections with COVID-19 Screened among Close Contacts in Nanjing, China",MedRxiv,,10.1101/2020.02.20.20025619,English, asymptomatic; also break down by CT but not including this for now,Holly,,1/28/2020,2/18/2020,21,Subgroup,Symptomatic,Positive only,End-point and active,Survivors only,Both,Yes,Non-ICU only,Mild only,Non-ventilation only,53,,,23,65,,0%,,60%,,,8,6,9,,,,,0%,,,0%,0%,0%,,0%,0%,,20%,,,,,100%,,,40%,,,,,40%,20%,,,,,,,,,,,,,,124,,123,129,1,,,,,,,,,,,,,,,,,,,,,,,,,,,40%,40%,0%,0%,0%,0%,0%,100%,,,,,,0%,,,,0%,0%,,,,,,0%,,,,,,,,,,,,,,100%,0%,0%,,,12,0.00%,,,,
78,2,China,Nanjing,19,"Clinical Characteristics of 24 Asymptomatic Infections with COVID-19 Screened among Close Contacts in Nanjing, China",MedRxiv,,10.1101/2020.02.20.20025619,English, asymptomatic; also break down by CT but not including this for now,Holly,,1/28/2020,2/18/2020,21,Subgroup,Asymptomatic,Positive only,End-point and active,Survivors only,Both,Yes,Non-ICU only,Mild only,Non-ventilation only,32,,,15,57,,42.10%,,26.30%,,,,,,,,,,5.30%,,,10.50%,10.50%,5.30%,,0%,0%,,0%,,,,,0%,,,0%,,,,,0%,0%,,,,,,,,,,,,,,134.5,,120,152,1,,,,,,,,,,,,,,,,,,,,,,,,,,,10.50%,11.10%,0%,10.50%,0%,10.50%,5.30%,84.20%,,,,,,0%,,,,0%,0%,,,,,,0%,,,,,,,,,,,,,,100%,0%,50.00%,,,6,0%,0%,,,
79,0,China,Wuhan,25,"Clinical characteristics of 25 death cases infected with COVID-19 pneumonia: a retrospective review of medical records in a single medical center, Wuhan, China",MedRxiv,Li et. al.,10.1101/2020.02.19.20025239,English,"all deaths, patient-level data",Ryan,,1/14/2020,2/13/2020,30,Top-level,Nonsurvivors,Positive only,End-point only,Non-Survivors only,Discharged only,No,ΝΑ,Severe/Critical Only,Both,73,71.88,24.34640352,62,78,,40.00%,,,,,,,,,,,,,,100%,64%,36%,36%,,8%,16%,0%,0%,36%,,,,,,,,,,,,,,,,,,,,,,,,10.84,6.33,13.93,121,,101,134,1,,135.7083333,0.52,0.27,0.69,150,,125,201,,,,9.7652,48.4,84.04,,101.975,,,,,,,,,,80%,36%,36%,28%,,36%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100%,,100%,,10.56,,100%,100%,,,
79,1,China,Wuhan,1,"Clinical characteristics of 25 death cases infected with COVID-19 pneumonia: a retrospective review of medical records in a single medical center, Wuhan, China",MedRxiv,Li et. al.,10.1101/2020.02.19.20025240,English,Patient 1,Ryan,,1/14/2020,2/13/2020,30,Subgroup,Nonsurvivors,Positive only,End-point only,Non-Survivors only,Discharged only,No,ΝΑ,Severe/Critical Only,Both,55,55,0,55,55,,0.00%,,,,,,,,,,,,,,100%,0.00%,100.00%,0.00%,,0%,0%,0%,0%,0%,,,,,,,,,,,,,,,,,,,,,,,,10.84,10.84,10.84,112,,112,112,0,,43,0.31,0.31,0.31,194,,194,194,,,,10.41,16,30,,86,,,,,,,,,,100.00%,0.00%,0.00%,0.00%,,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100%,,100%,,17,,100%,100%,,,
79,2,China,Wuhan,1,"Clinical characteristics of 25 death cases infected with COVID-19 pneumonia: a retrospective review of medical records in a single medical center, Wuhan, China",MedRxiv,Li et. al.,10.1101/2020.02.19.20025241,English,Patient 2,Ryan,,1/14/2020,2/13/2020,30,Subgroup,Nonsurvivors,Positive only,End-point only,Non-Survivors only,Discharged only,No,ΝΑ,Severe/Critical Only,Both,62,62,0,62,62,,100.00%,,,,,,,,,,,,,,100%,100.00%,100.00%,0.00%,,0%,0%,0%,0%,0%,,,,,,,,,,,,,,,,,,,,,,,,17.91,17.91,17.91,137,,137,137,0,,428,0.23,0.23,0.23,39,,39,39,,,,17.01,49,67,,96.2,,,,,,,,,,100.00%,0.00%,100.00%,100.00%,,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100%,,100%,,11,,100%,100%,,,
