ID,SUB_ID,Country,Province/State,Pop Size (N),Title,Journal,Author,Source,Language,Notes,Person Responsible,Data Request (contact person),Study start date (mm/dd/yyyy),Study end date (mm/dd/yyyy),Study length (days),Is top-level row?,Subgroup,Positive/negative cases,End-point vs Active,Survivors,Discharged,Contains Any Treatment?,ICU vs. non-ICU,Severity,Ventilation,Median Age,Mean Age,Age 95% CI Halfwidth,Age Lower Quartile,Age Higher Quartile,% Healthcare Worker,% Male,Exposure history (%),Exposure - Wuhan Travel (%),Exposure - Personal Contact (%),Incubation period (days) - Mean,Incubation period (days) - Median,Incubation period (days) - Lower Quartile,Incubation period (days) -  Higher Quartile,Time From Ill (days) - Mean,Time From Ill (days) - Median,Time from Ill (days) - Lower Quartile,Time from Ill (days) - Upper Quartile,Current smoker,Current drinker,Any Comorbidity,Hypertension,Diabetes,Coronary heart disease,Chronic obstructive lung,Cancer (Any),Carcinoma,Chronic kidney/renal disease,Other,Respiratory rate > 24 breaths per min,Pulse >=125 beats per min,Systolic blood pressure <90mm Hg,Fever (temperature ≥37·3°C),Average temperature (celsius),Max temperature (celsius),Cough,Shortness of Breath (dyspnoea),Headache,Sputum,Myalgia (Muscle Pain),Fatigue,Upper air-way congestion,Diarrhoea,Nausea or vomiting,Loss of Appetite,Sore Throat/Stuffy Nose,Chills,Disease Severity Asymptomatic,Disease Severity General,Disease Severity Severe,Disease Severity Critical,Peripheral white cell count - Median,Peripheral white cell count - Lower Quartile,Peripheral white cell count - Upper Quartile,Hemoglobin (g/L) - Median,Hemoglobin (g/L) - Lower Quartile,Hemoglobin (g/L) - Upper Quartile,"Imaging Findings Available? (yes=1, no=0)",Hematocrit,CRE (μmol/L),Lymphocyte count - Median,Lymphocyte count - Lower Quartile,Lymphocyte count - Upper Quartile,Platelet count - Median,Platelet count - Lower Quartile,Platelet count - Upper Quartile,Serum bilirubin - Median,Serum bilirubin - Lower quartile,Serum bilirubin - Upper quartile,Neutrophils,ALT (U/L),AST (U/L),GGT (U/L),CRP (mg/DL),IL-6 (ng/L),T Lymphocyte,CD4+ T Lymphocyte (Count),CD8+ T Lymphocyte (Count),Antibiotic,Antiviral,Uses lopinavir-ritonavir,Uses Favipiravir,Corticosteroid,Intravenous immunoglobin,Nasal cannula,High-flow nasal cannula oxygen therapy,Noninvasive mechanical ventilation,Invasive mechanical ventilation,ECMO,Glucocorticoid,Renal replacement therapy,Sepsis,Respiratory failure or ARDS,Respiratory failure,ARDS,Heart failure,Septic shock,Liver dysfunction,Coagulopathy,Acute cardiac injury,Acute kidney injury (AKI),Secondary infection,Hypoproteinaemia,Acidosis,Hospital admission,ICU admission,Discharged (%),"ICU length of stay, days","Hospital length of stay, days",Days to Viral Clearance (Median),Mortality,Chest CT Improve,Chest CT Same,Chest CT Decline
24,1,China,Wuhan,17,"Myocardial injury is associated with in-hospital mortality of confirmed or suspected COVID-19 in Wuhan, China: A single center retrospective cohort study",medRxiv,Zhang et al.,https://www.medrxiv.org/content/10.1101/2020.03.21.20040121v1.full.pdf,English,,Kim,,12/25/19,2/15/20,52,Subgroup,Non-survivor,Positive and Negative/Unconfirmed,End-point and active,Non-Survivors only,Both,Yes,Both,All,NA,,78.61,8.31,,,,70.60%,,,,,,,,,,,,,,,70.60%,29.40%,23.50%,,,,29.40%,17.60%,,,,70.60%,,,,,,,,,,,,,,,,23.50%,76.50%,,8.84,5.46,9.67,111.35,87.39,135.31,0,,,0.92,0.51,1.29,119,88.5,212.5,,,,3.9,19,33,,65.5,,,,,100.00%,100.00%,,,47.10%,23.50%,11.80%,,82.40%,5.90%,,,,,,,,,,,,,,,,,100%,,na,,,,100.00%,,,
24,2,China,Wuhan,31,"Myocardial injury is associated with in-hospital mortality of confirmed or suspected COVID-19 in Wuhan, China: A single center retrospective cohort study",medRxiv,Zhang et al.,https://www.medrxiv.org/content/10.1101/2020.03.21.20040121v1.full.pdf,English,,Kim,,12/25/19,2/15/20,52,Subgroup,Survivor,Positive and Negative/Unconfirmed,End-point and active,Survivors only,Both,Yes,Both,All,NA,,66.16,13.66,,,,67.70%,,,,,,,,,,,,,,,64.50%,16.10%,29.00%,,,,0.00%,12.90%,,,,71.00%,,,,,,,,,,,,,,,,71.00%,29.00%,,5.74,4.14,7.39,29.26,112.86,145.66,0,,,1.08,0.66,1.33,181,146,220,,,,4.9,23,32,,23.8,,,,,93.50%,96.80%,,,45.20%,6.50%,87.10%,,12.90%,0.00%,,,,,,,,,,,,,,,,,100%,,na,,,,0.00%,,,
25,0,USA,Washington,21,Characteristics and Outcomes of 21 Critically Ill Patients With COVID-19 in Washington State,JAMA,Arentz et al.,https://jamanetwork.com/journals/jama/fullarticle/2763485,English,,Kim,,2/20/20,3/5/20,14,Top-level,,Positive only,End-point and active,Both,Both,Yes,ICU only,All,NA,,70,,,,,52%,,,,,,,,,,,,,,86%,,33.30%,,33.30%,,,47.60%,42.90%,,,,52%,37.6,39.2,48%,76%,,,,,,,,,,,,,,,5.15,1.74,12.22,114,80,137,1,,,0.889,0.2,2.39,215,52,395,,,,,26.5,34,,,,,,,,,,,,,,4.80%,19%,71%,,,,,,,,,,14.30%,,,19.10%,19.10%,,,,100%,9.50%,,,,67.00%,,,
26,0,Singapore,Singapore,18,Epidemiologic Features and Clinical Course of Patients Infected With SARS-CoV-2 in Singapore,JAMA,Young et al.,https://jamanetwork.com/journals/jama/fullarticle/2762688,English,"Small sample, lopinavir-ritonavir antivial medication went badly",Matthew,,1/23/20,2/25/20,33,Top-level,,Positive only,End-point and active,Survivors only,Both,Yes,Both,All,Both,47,,,31,73,0%,50%,100%,100%,,,,,,,,,,,,28%,28%,11%,,,,,,,,,,72%,37.7,39.6,83%,11%,,,,,,17.00%,22.20%,,61%,,,,,,4.6,1.7,6.3,13.5,11.7,17.2,0,,,1.2,0.8,1.7,159,116,217,,,,2.7,,,,16.3,,,,,,27.78%,,,,,,,6%,,,,,,,,,,,,,,,,,,,11.10%,44.44%,0.33,,,0.00%,,,
26,1,Singapore,Singapore,12,Epidemiologic Features and Clinical Course of Patients Infected With SARS-CoV-2 in Singapore,JAMA,Young et al.,https://jamanetwork.com/journals/jama/fullarticle/2762688,English,"Small sample, lopinavir-ritonavir antivial medication went badly",Matthew,,1/23/20,2/25/20,33,Subgroup,Did not require supplemental oxygen,Positive only,End-point and active,Survivors only,Both,Yes,Both,All,Both,37,,,31,56,0%,58%,100%,100%,,,,,,,,,,,,8%,8%,8.30%,,,,,,,,,,58%,38.3,39.6,83%,8%,,,,,,25.00%,,,67.00%,,,,,,4.6,1.7,6.3,13.9,11.7,17.2,0,,,1.2,0.8,1.6,159,128,213,,,,2.8,,,,11.1,,,,,,,,,,,,,6%,,,,,,,,,,,,,,,,,,,0.00%,41.67%,0,,,0.00%,,,
26,2,Singapore,Singapore,6,Epidemiologic Features and Clinical Course of Patients Infected With SARS-CoV-2 in Singapore,JAMA,Young et al.,https://jamanetwork.com/journals/jama/fullarticle/2762688,English,"Small sample, lopinavir-ritonavir antivial medication went badly",Matthew,,1/23/20,2/25/20,33,Subgroup,Required supplemental oxygen,Positive only,End-point and active,Survivors only,Both,Yes,Both,All,Both,56,,,47,73,0%,33%,100%,100%,,,,,,,,,,,,67%,67%,16.70%,,,,,,,,,,100%,37.3,38.1,83%,17%,,,,,,0.00%,,,50%,,,,,,3.4,2.6,5.8,13.2,11.7,14,0,,,1.1,0.8,1.7,156,116,217,,,,1.8,,,,65.6,,,,,,,,,,,,,6%,,,,,,,,,,,,,,,,,,,33.30%,50.00%,1,,,0.00%,,,
27,0,Italy,Nationwide,355,Case-Fatality Rate and Characteristics of Patients Dying in Relation to COVID-19 in Italy,JAMA,Onder et al.,https://jamanetwork.com/journals/jama/fullarticle/2763667?appId=scweb,English,Only case fatality rates by age (reporting on subsample with chart review),Ryan,,2/15/20,3/17/20,31,Top-level,Non-survivor,Positive only,End-point and active,Non-Survivors only,Discharged only,No,ΝΑ,All,Both,80,79.5,,,,,70%,,,,,,,,,,,,,,98.20%,,35.50%,30%,24.50%,20.30%,,,10%,,,,,,,,,,,,,,,,,,,0%,100%,,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100%,50%,0%,,,,100.00%,,,
28,0,China,Wuhan,201,"Risk Factors Associated With Acute Respiratory Distress Syndrome and Death in Patients With Coronavirus Disease 2019 Pneumonia in Wuhan, China",JAMA,Wu et al.,https://jamanetwork.com/journals/jamainternalmedicine/fullarticle/2763184,English,All patients,Ryan,Irra,12/25/19,1/26/20,32,Top-level,aggregate,Positive only,End-point and active,Both,Both,Yes,Both,All,Both,51,,,43,60,,63.70%,49.30%,49.30%,,,,,,,,,,,,,19.40%,10.90%,4%,2.50%,0.50%,,1%,7%,,,,93.50%,38.8,,81.10%,,,,32.30%,32.30%,,,,,,,,,,,5.94,3.37,7.18,,,,0,,,0.91,0.6,1.29,180,137,241.5,,,,4.47,31,33,,48.1,6.98,,353,236,97.50%,84.60%,,,,,48.72%,,30.34%,2.51%,0.50%,,0.00%,,,,41.80%,,,,,,,,,,100.00%,26.40%,71.64%,,13,,21.89%,,,
28,1,China,Wuhan,84,"Risk Factors Associated With Acute Respiratory Distress Syndrome and Death in Patients With Coronavirus Disease 2019 Pneumonia in Wuhan, China",JAMA,Wu et al.,https://jamanetwork.com/journals/jamainternalmedicine/fullarticle/2763184,English,Patients with ARDS,Ryan,Irra,12/25/19,1/26/20,32,Subgroup,with ARDS,Positive only,End-point and active,Both,Both,Yes,Both,Severe/Critical Only,Ventilation only,58.5,,,50,69,,71.40%,,,,,,,,,,,,,,,27.40%,19%,6%,,,,,,,,,92.90%,39,,81%,,,,32.10%,32.10%,,,,,,,,,,,5.02,3.37,7.18,,,,0,,,1.08,0.72,1.45,178,140,239.5,,,,3.06,27,30,,23.4,6.29,,371,234,98.80%,76.20%,,,,,20.20%,,72.60%,6%,1.20%,,0%,,,,100%,,,,,,,,,,100.00%,63.10%,16.67%,,,,52.38%,,,
28,2,China,Wuhan,117,"Risk Factors Associated With Acute Respiratory Distress Syndrome and Death in Patients With Coronavirus Disease 2019 Pneumonia in Wuhan, China",JAMA,Wu et al.,https://jamanetwork.com/journals/jamainternalmedicine/fullarticle/2763184,English,Patients without ARDS,Ryan,Irra,12/25/19,1/26/20,32,Subgroup,without ARDS,Positive only,End-point and active,Survivors only,Both,Yes,Both,All,Non-ventilation only,48,,,40,54,,58.10%,,,,,,,,,,,,,,,13.70%,5.10%,2.60%,,,,,,,,,94.00%,38.6,,82.20%,,,,32.50%,32.50%,,,,,,,,,,,8.32,5.07,11.2,,,,0,,,0.67,0.49,0.99,187,124.5,252.5,,,,7.04,35,38,,83,7.39,,241,157.5,96.60%,90.60%,,,,,69.20%,,0%,0%,0%,,0%,,,,0%,,,,,,,,,,100%,0%,100%,,,,0.00%,,,
30,1,China,Xi'an,17,"Meplazumab treats COVID-19 pneumonia: an open-labelled, concurrent controlled add-on clinical trial",medRxiv,Bien et al.,https://www.medrxiv.org/content/10.1101/2020.03.21.20040691v1.full.pdf,English,"Does not report mortality, but has data over time",Agni,,2/3/20,2/10/20,7,Subgroup,meplazumab,Positive only,End-point and active,Both,Both,Yes,ΝΑ,All,NA,51,,,49,67,,64.70%,,58.80%,5.90%,,,,,,,,,5.90%,,52.90%,35.30%,17.60%,5.90%,5.90%,,,,,41.20%,,,94.10%,,37.7,52.90%,58.80%,,5.90%,58.80%,58.80%,,11.80%,,,,,,23.50%,35.30%,41.20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,100%,100%,,,94.10%,,,,,,,,,,,,,,,,,,,,,,,,76.47%,,,,,,,
30,2,China,Xi'an,11,"Meplazumab treats COVID-19 pneumonia: an open-labelled, concurrent controlled add-on clinical trial",medRxiv,Bien et al.,https://www.medrxiv.org/content/10.1101/2020.03.21.20040691v1.full.pdf,English,"Does not report mortality, but has data over time",Agni,,2/3/20,2/10/20,7,Subgroup,no meplazumab,Positive only,End-point and active,Both,Both,Yes,ΝΑ,All,NA,64,,,43,67,,45.50%,,36.40%,18.20%,,,,,,,,,9.10%,,36.40%,27.30%,0%,18.20%,0,,,,,45.50%,,,100%,,37.7,63.60%,63.60%,,18.20%,45.50%,45.50%,,9.10%,,,,,,36.40%,36.40%,27.30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.90%,100%,,,63.60%,,,,,,,,,,,,,,,,,,,,,,,,36.36%,,,,,,,
31,0,China and outside China,,507,Early epidemiological analysis of the coronavirus disease 2019 outbreak based on crowdsourced data: a population- level observational study,Lancet,Sun et al.,https://www.thelancet.com/action/showPdf?pii=S2589-7500%2820%2930026-1,English,data available here: https://docs.google.com/spreadsheets/d/1Gb5cyg0fjUtsqh3hl_L-C5A23zIOXmWH5veBklfSHzg/edit#gid=447265963,Yuchen,Irra,1/20/20,1/31/20,11,Top-level,,Positive only,End-point and active,Both,Both,No,ΝΑ,All,NA,,46,,35,60,,55%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,na,,,,7.89%,,,
32,0,China,Beijing,262,Characteristics of COVID-19 infection in Beijing,Journal of Infection,Tian et al.,https://www.sciencedirect.com/science/article/pii/S0163445320301018,English,,Agni,Irra,1/20/20,2/10/20,21,Top-level,All cases,Positive only,End-point and active,Both,Both,No,ΝΑ,All,NA,47.5,,,,,,48.50%,92%,40.50%,49.20%,,6.7,,,,,,,,,,,,,,,,,,,,,82.10%,,37.7,45.80%,6.90%,6.50%,,,26.30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.70%,,17.20%,,,,0.90%,,,
32,1,China,Beijing,46,Characteristics of COVID-19 infection in Beijing,Journal of Infection,Tian et al.,https://www.sciencedirect.com/science/article/pii/S0163445320301018,English,,Agni,,1/20/20,2/10/20,21,Subgroup,severe,Positive only,End-point and active,Both,Both,No,ΝΑ,Severe/Critical Only,NA,61.4,,,,,,56.50%,89.10%,28.30%,56.50%,,7.5,,,,,,,,,,,,,,,,,,,,,80.40%,,37.7,54.30%,32.60%,6.50%,,,32.60%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.10%,,4.30%,,,,6.50%,,,
34,0,China,Wuhan,5,Clinical characteristics of severe acute respiratory syndrome coronavirus 2 reactivation,Journal of Infection,Ye et al.,https://www.sciencedirect.com/science/article/pii/S0163445320301146,English,Not relevant now (only repeat cases). Individual patient level,EXCLUDE,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,2,China,Beijing,216,Characteristics of COVID-19 infection in Beijing,Journal of Infection,Tian et al.,https://www.sciencedirect.com/science/article/pii/S0163445320301018,English,"contains 192 mild cases, 11 non-pneumonia cases, 13 asymptomatic cases",Agni,,1/20/20,2/10/20,21,Subgroup,common,Positive only,End-point and active,Survivors only,Both,No,ΝΑ,Mild only,NA,44.5,,,,,,46.80%,92.60%,43.10%,47.70%,,6.5,,,,,,,,,,,,,,,,,,,,,82.40%,,37.7,44.00%,1.40%,6.50%,,,25.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.10%,,19.90%,,,,0.00%,,,
33,0,China,Wuhan,9,Clinical characteristics and intrauterine vertical transmission potential of COVID-19 infection in nine pregnant women: a retrospective review of medical records,Lancet,Chen et al.,https://www.sciencedirect.com/science/article/pii/S0140673620303603,English,"Not applicable for now specific to pregnant women (probably too specific for now) - isolated data per patient, could be useful if we decide to create a dataset with personalized information",EXCLUDE,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,na,,,,0.00%,,,
35,1,China,Anhui,6,CT manifestations of coronavirus disease-2019: A retrospective analysis of 73 cases by disease severity,European Journal of Radiology,Liu et al.,https://www.sciencedirect.com/science/article/pii/S0720048X20301303,English,"given ""appropriate treatment"" (unspecified), include CT findings",Holly,,1/21/20,2/3/20,13,Subgroup,Mild,Positive only,End-point and active,,Both,Yes,,Mild only,,,29.2,10.9,,,,50%,,67%,33%,,,,,,,,,,,,,,,,,,,,,,,83%,,,67%,,0%,17%,,67%,,,,0,11%,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,na,,,,0.00%,,,
35,2,China,Anhui,43,CT manifestations of coronavirus disease-2019: A retrospective analysis of 73 cases by disease severity,European Journal of Radiology,Liu et al.,https://www.sciencedirect.com/science/article/pii/S0720048X20301303,English,"given ""appropriate treatment"" (unspecified), include CT findings",Holly,,1/21/20,2/3/20,13,Subgroup,Common,Positive only,End-point and active,,Both,Yes,,Mild only,,,33.4,12.2,,,,65%,,67%,28%,,,,,,,,,,,,,,,,,,,,,,,93%,,,84%,,11%,51%,,72%,,,,19%,7%,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,na,,,,0.00%,,,
35,3,China,Anhui,21,CT manifestations of coronavirus disease-2019: A retrospective analysis of 73 cases by disease severity,European Journal of Radiology,Liu et al.,https://www.sciencedirect.com/science/article/pii/S0720048X20301303,English,"given ""appropriate treatment"" (unspecified), include CT findings",Holly,,1/21/20,2/3/20,13,Subgroup,Severe,Positive only,End-point and active,,Both,Yes,,Severe/Critical Only,,,44.2,12,,,,48%,,85%,10%,,,,,,,,,,,,,,,,,,,,,,,95%,,,86%,,10%,67%,,81%,,,,43%,10%,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,na,,,,0.00%,,,
35,4,China,Anhui,3,CT manifestations of coronavirus disease-2019: A retrospective analysis of 73 cases by disease severity,European Journal of Radiology,Liu et al.,https://www.sciencedirect.com/science/article/pii/S0720048X20301303,English,"given ""appropriate treatment"" (unspecified), include CT findings",Holly,,1/21/20,2/3/20,13,Subgroup,Critical,Positive only,End-point and active,,Both,Yes,,Severe/Critical Only,,,63,21.2,,,,0%,,100%,,,,,,,,,,,,,,,,,,,,,,,,100%,,,67%,,33%,67%,,100%,,,,100%,0%,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,na,,,,0.00%,,,
36,1,China,Shenzhen,35,Experimental Treatment with Favipiravir for COVID-19: An Open-Label Control Study,Engineering,Cai et al.,https://www.sciencedirect.com/science/article/pii/S2095809920300631,English,treatment study; only improve/decline,Holly,,1/24/20,2/14/20,21,Subgroup,FPV,Positive only,End-point only,Survivors only,Both,Yes,Non-ICU only,All,Non-ventilation only,43,,,35.5,59,,40.00%,57.10%,57.10%,,,,,,,,,,,,,,,,,,,,,,,,62.90%,,,34.30%,,8.60%,,,,,2.90%,,,17.10%,0%,,,,,8.1,3.8,6.6,,,,1,,,1.5,1,1.8,,,,,,,3,21.6,24.1,26.9,15,14,1.0467,593.3,397.8,,100%,,100%,,,,,,,,,,,,,,,,,,,,,,,,,na,,,4,0.00%,91.43%,6.45%,3.23%
36,2,China,Shenzhen,45,Experimental Treatment with Favipiravir for COVID-19: An Open-Label Control Study,Engineering,Cai et al.,https://www.sciencedirect.com/science/article/pii/S2095809920300631,English,treatment study; only improve/decline,Holly,,1/24/20,2/14/20,21,Subgroup,LPV/RTV,Positive only,End-point only,Survivors only,Both,Yes,Non-ICU only,All,Non-ventilation only,49,,,36,61,,46.70%,57.80%,57.80%,,,,,,,,,,,,,,,,,,,,,,,,82.20%,,,22.20%,,11.10%,,,,,0%,,,4.40%,2.20%,,,,,4.3,3.4,4.9,,,,1,,,1.2,0.9,1.4,,,,,,,2.6,22.6,25.8,24.4,21.4,12.9,0.9252,542.3,326.4,,100%,100%,,,,,,,,,,,,,,,,,,,,,,,,,,na,,,11,0.00%,62.22%,17.78%,20.00%
37,1,China,Beijing,9,Clinical and computed tomographic imaging features of novel coronavirus pneumonia caused by SARS-CoV-2,Journal of Infection,Xu et al.,https://www.sciencedirect.com/science/article/pii/S0163445320301006,English,include CT findings,Holly,,1/1/20,2/21/20,51,Subgroup,Mild,Positive only,End-point and active,Both,Both,No,Non-ICU only,Mild only,Non-ventilation only,,,,,,,78%,,89%,11%,,,,,,,,,,,,,,,,,,,,,,,67%,,,33%,,,11%,0%,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,na,,,,0.00%,,,
37,2,China,Beijing,28,Clinical and computed tomographic imaging features of novel coronavirus pneumonia caused by SARS-CoV-2,Journal of Infection,Xu et al.,https://www.sciencedirect.com/science/article/pii/S0163445320301006,English,include CT findings,Holly,,1/1/20,2/21/20,51,Subgroup,Moderate,Positive only,End-point and active,Both,Both,No,Non-ICU only,Mild only,Non-ventilation only,,,,,,,54%,,57%,39%,,,,,,,,,,,,,,,,,,,,,,,96%,,,39%,,,14%,14%,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,na,,,,0.00%,,,
37,3,China,Beijing,10,Clinical and computed tomographic imaging features of novel coronavirus pneumonia caused by SARS-CoV-2,Journal of Infection,Xu et al.,https://www.sciencedirect.com/science/article/pii/S0163445320301006,English,include CT findings,Holly,,1/1/20,2/21/20,51,Subgroup,Severe,Positive only,End-point and active,Both,Both,No,Non-ICU only,Severe/Critical Only,Non-ventilation only,,,,,,,70%,,60%,40%,,,,,,,,,,,,,,,,,,,,,,,80%,,,40%,,,10%,30%,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,na,,,,0.00%,,,
37,4,China,Beijing,3,Clinical and computed tomographic imaging features of novel coronavirus pneumonia caused by SARS-CoV-2,Journal of Infection,Xu et al.,https://www.sciencedirect.com/science/article/pii/S0163445320301006,English,include CT findings,Holly,,1/1/20,2/21/20,51,Subgroup,Critically Severe,Positive only,End-point and active,Both,Both,No,ICU only,Severe/Critical Only,Both,,,,,,,0%,,0%,67%,,,,,,,,,,,,,,,,,,,,,,,67%,,,67%,,,33%,33%,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,na,,,,0.00%,,,
38,0,China,Shanghai,249,"Clinical progression of patients with COVID-19 in Shanghai, China",Journal of Infection,Chen et al. ,https://www.sciencedirect.com/science/article/pii/S0163445320301195,English,no subgroups; doesn't discuss treatments,Ryan,Irra,1/20/20,2/6/20,17,Top-level,All,Positive only,End-point and active,Both,Both,No,Both,All,NA,51,51,,36,64,,50.60%,,,,,,,,4,4,2,7,,,36.10%,21.70%,,,,0.40%,,,16.40%,,,,87.10%,,,36.50%,7.60%,11.20%,,,15.70%,,3.20%,,3.20%,6.40%,,2.80%,10%,5%,5%,4.71,3.8,5.86,,,,1,,12,1.12,0.79,1.49,,,,,,,,23,25,,12,,,431,256.54,,,,,,,,,,,,,,,,,3.20%,,,,,,,,,,,8.80%,86.30%,,16,,0.80%,,,
39,1,China,Zhejiang,72,"Epidemiological, clinical characteristics of cases of SARS-CoV-2 infection with abnormal imaging findings",Intl Journal of Infectious Disease,Zhang et al.,https://www.sciencedirect.com/science/article/pii/S1201971220301727,English,non-intesive and intensive ventilation reported together.,Kim,Irra,1/17/20,2/8/20,22,Subgroup,Normal Imaging Findings,Positive only,Active only,Both,Both,Yes,ΝΑ,All,NA,,34.9,14.2,,,,45.80%,,91.70%,8.30%,,,,,,,,,,,16.70%,5.60%,5.60%,0%,0%,0%,,0%,4.20%,,,,66.70%,,,45.80%,0,2.80%,23.60%,7%,12.50%,,11.10%,,,23.60%,,,,,,5.42,3.42,7.42,141.04,125.42,156.66,1,,,1.39,0.78,2,198.44,140,256.88,9.11,4.25,13.97,3.48,25.53,26.67,,2.3,,,,,,77.80%,,,,,11.10%,,0,0,0%,0%,0%,,,,0%,,,8.30%,,,0%,,,,,0%,na,,,,,,,
39,2,China,Zhejiang,573,"Epidemiological, clinical characteristics of cases of SARS-CoV-2 infection with abnormal imaging findings",Intl Journal of Infectious Disease,Zhang et al.,https://www.sciencedirect.com/science/article/pii/S1201971220301727,English,include imaging findings,Kim,,1/17/20,2/8/20,22,Subgroup,Abnormal Imaging Findings,Positive only,Active only,Both,Both,Yes,ΝΑ,All,NA,,46.65,13.82,,,,51.50%,,81.00%,19%,,,,,,,,,,,28.80%,16.80%,7.70%,1%,0%,1%,,1%,6.50%,,,,85.90%,,,68.40%,4.50%,11.30%,36%,11.50%,19%,,7.90%,,,14%,,,,,,5.01,3.14,6.88,138.09,121.62,154.56,1,,,1.23,0.71,1.75,185.22,122.8,247.64,11.26,3.22,19.3,3.29,29.37,30.08,,8.8,,,,,,85.20%,,,,,43.60%,,1.60%,1.60%,0%,13.40%,0%,,,,2.40%,,,13.10%,,,0.30%,,,,,0.70%,na,,,,,,,
40,1,China,Changzhou,15,Clinical features and dynamics of viral load in imported and non-imported patients with COVID-19,Intl Journal of Innfectious Diseases,Xu et al.,https://www.sciencedirect.com/science/article/pii/S1201971220301417,English,"breakdown by contact (direct vs. secondary, tertiary transmission)",Kim,,1/23/20,2/18/20,26,Subgroup,Imported contact,Positive only,End-point only,Both,Both,No,ΝΑ,Mild only,NA,35,,,29,51,,66.70%,,,,,8,4,10,,,,,,,0%,,0%,0%,0%,,,0%,0%,,,,73.30%,,,33.30%,13.30%,,20%,26.70%,6.70%,,13.30%,,,,,,100%,,,5.2,4.6,6.3,,,,0,,,1.5,0.9,2.1,,,,,,,,22.9,19,,4.4,,,399,287,,,,,,,,,,,,,,,,,,,,,,,,,,,100%,,na,,,,,,,
40,2,China,Changzhou,17,Clinical features and dynamics of viral load in imported and non-imported patients with COVID-19,,Xu et al.,https://www.sciencedirect.com/science/article/pii/S1201971220301417,,,Kim,,1/23/20,2/18/20,26,Subgroup,Secondary contact,Positive only,End-point only,Both,Both,No,ΝΑ,Mild only,NA,37,,,24,47.5,,41.20%,,,,,8,4,11,,,,,,,23.50%,,5.90%,11.80%,0%,,,5.90%,0%,,,,58.80%,,,52.90%,5.90%,,35.30%,11.80%,0%,,5.90%,,,,,,100%,,,4.8,3.4,6.2,,,,0,,,1.1,1,1.9,,,,,,,,13.5,17,,2.2,,,375,267,,,,,,,,,,,,,,,,,,,,,,,,,,,100%,,na,,,,,,,
40,3,China,Changzhou,19,Clinical features and dynamics of viral load in imported and non-imported patients with COVID-19,,Xu et al.,https://www.sciencedirect.com/science/article/pii/S1201971220301417,,,Kim,,1/23/20,2/18/20,26,Subgroup,Terciary contact,Positive only,End-point only,Both,Both,No,ΝΑ,Mild only,NA,53,,,35,65,,42.10%,,,,,12,9,14,,,,,,,42.10%,,15.80%,15.80%,5.30%,,,0%,5.30%,,,,68.40%,,,47.40%,5.30%,,21.10%,10.50%,10.50%,,10.50%,,,,,,100%,,,3.9,3.1,5.7,,,,0,,,1.3,0.9,1.6,,,,,,,,25.2,22,,7,,,374,303,,,,,,,,,,,,,,,,,,,,,,,,,,,100%,,na,,,,,,,
